"iTunes Connect - Payments and Financial Reports	(April, 2023)",,,,,,,,,,,,
,,,,,,,,,,,,
Country or Region (Currency),Units Sold,Balance,Earned,Pre-Tax Subtotal,Input Tax,Adjustments,Withholding Tax,Total Owed,Exchange Rate,Proceeds,Bank Account Currency,
"Denmark (DKK)","1","","60.52","60.52","0","0","0","60.52","0.66210","40.07","RON",
"Euro-Zone (EUR)","2","","11.71","11.71","0","0","0","11.71","4.93339","57.77","RON",
"United Kingdom (GBP)","5","","28.95","28.95","0","0","0","28.95","5.72366","165.70","RON",
"Norway (NOK)","2","","144.48","144.48","0","0","0","144.48","0.41597","60.10","RON",
"New Zealand (NZD)","1","","12.17","12.17","0","0","0","12.17","2.80279","34.11","RON",
"Romania (RON)","44","65.12","1394.84","1459.96","0","0","0","1459.96","1.00000","1459.96","RON",
,,,,,,,,,,,,
,,,,,,,,,,"1,817.71 RON",,
,,,,,,,,,,Paid to BANCA TRANSILVANIA S.A.-****4901,,
,,,,,,,,,,,,
,,,,,,,,,,,,
